OrderId,OrderDate,ShipDate,ShipMode,City,OrderDateCalc,IngestionDate
CA-2015-146703,20/10/2015,2015/10/25,Second Class,Westland,20/10/2015,2022-06-20
CA-2017-169194,20/06/2017,2017/06/25,Standard Class,Dover,20/06/2017,2022-06-20
CA-2017-169194,20/06/2017,2017/06/25,Standard Class,Dover,20/06/2017,2022-06-20
CA-2016-115742,18/04/2016,2016/04/22,Standard Class,New Albany,18/04/2016,2022-06-20
CA-2016-115742,18/04/2016,2016/04/22,Standard Class,New Albany,18/04/2016,2022-06-20
CA-2016-115742,18/04/2016,2016/04/22,Standard Class,New Albany,18/04/2016,2022-06-20
CA-2016-115742,18/04/2016,2016/04/22,Standard Class,New Albany,18/04/2016,2022-06-20
CA-2017-105816,11/12/2017,2017/12/17,Standard Class,New York City,11/12/2017,2022-06-20
CA-2017-105816,11/12/2017,2017/12/17,Standard Class,New York City,11/12/2017,2022-06-20
CA-2017-111682,17/06/2017,2017/06/18,First Class,Troy,17/06/2017,2022-06-20
CA-2017-111682,17/06/2017,2017/06/18,First Class,Troy,17/06/2017,2022-06-20
CA-2017-111682,17/06/2017,2017/06/18,First Class,Troy,17/06/2017,2022-06-20
CA-2017-111682,17/06/2017,2017/06/18,First Class,Troy,17/06/2017,2022-06-20
CA-2017-111682,17/06/2017,2017/06/18,First Class,Troy,17/06/2017,2022-06-20
CA-2017-111682,17/06/2017,2017/06/18,First Class,Troy,17/06/2017,2022-06-20
CA-2017-111682,17/06/2017,2017/06/18,First Class,Troy,17/06/2017,2022-06-20
CA-2016-135545,24/11/2016,2016/11/30,Standard Class,Los Angeles,24/11/2016,2022-06-20
CA-2016-135545,24/11/2016,2016/11/30,Standard Class,Los Angeles,24/11/2016,2022-06-20
CA-2016-135545,24/11/2016,2016/11/30,Standard Class,Los Angeles,24/11/2016,2022-06-20
CA-2016-135545,24/11/2016,2016/11/30,Standard Class,Los Angeles,24/11/2016,2022-06-20
US-2016-164175,30/04/2016,2016/05/05,Standard Class,Chicago,30/04/2016,2022-06-20
CA-2015-106376,05/12/2015,2015/10/12,Standard Class,Gilbert,05/12/2015,2022-06-20
CA-2015-106376,05/12/2015,2015/10/12,Standard Class,Gilbert,05/12/2015,2022-06-20
CA-2017-119823,04/06/2017,2017/06/06,First Class,Springfield,04/06/2017,2022-06-20
CA-2017-106075,18/09/2017,2017/09/23,Standard Class,New York City,18/09/2017,2022-06-20
CA-2018-114440,14/09/2018,2018/09/17,Second Class,Jackson,14/09/2018,2022-06-20
US-2016-134026,26/04/2016,2016/02/05,Standard Class,Memphis,26/04/2016,2022-06-20
US-2016-134026,26/04/2016,2016/02/05,Standard Class,Memphis,26/04/2016,2022-06-20
US-2016-134026,26/04/2016,2016/02/05,Standard Class,Memphis,26/04/2016,2022-06-20
US-2018-118038,09/12/2018,2018/11/12,First Class,Houston,09/12/2018,2022-06-20
US-2018-118038,09/12/2018,2018/11/12,First Class,Houston,09/12/2018,2022-06-20
US-2018-118038,09/12/2018,2018/11/12,First Class,Houston,09/12/2018,2022-06-20
US-2015-147606,26/11/2015,2015/01/12,Second Class,Houston,26/11/2015,2022-06-20
CA-2017-127208,12/06/2017,2017/06/15,First Class,Decatur,12/06/2017,2022-06-20
CA-2017-127208,12/06/2017,2017/06/15,First Class,Decatur,12/06/2017,2022-06-20
CA-2015-139451,12/10/2015,2015/10/16,Standard Class,San Francisco,12/10/2015,2022-06-20
CA-2015-139451,12/10/2015,2015/10/16,Standard Class,San Francisco,12/10/2015,2022-06-20
CA-2016-149734,03/09/2016,2016/08/09,Standard Class,Durham,03/09/2016,2022-06-20
US-2018-119662,13/11/2018,2018/11/16,First Class,Chicago,13/11/2018,2022-06-20
CA-2018-140088,28/05/2018,2018/05/30,Second Class,Columbia,28/05/2018,2022-06-20
CA-2018-155558,26/10/2018,2018/02/11,Standard Class,Rochester,26/10/2018,2022-06-20
CA-2018-155558,26/10/2018,2018/02/11,Standard Class,Rochester,26/10/2018,2022-06-20
CA-2017-159695,05/04/2017,2017/10/04,Second Class,Houston,05/04/2017,2022-06-20
CA-2017-109806,17/09/2017,2017/09/22,Standard Class,Los Angeles,17/09/2017,2022-06-20
CA-2017-109806,17/09/2017,2017/09/22,Standard Class,Los Angeles,17/09/2017,2022-06-20
CA-2017-109806,17/09/2017,2017/09/22,Standard Class,Los Angeles,17/09/2017,2022-06-20
CA-2016-149587,31/01/2016,2016/05/02,Second Class,Minneapolis,31/01/2016,2022-06-20
CA-2016-149587,31/01/2016,2016/05/02,Second Class,Minneapolis,31/01/2016,2022-06-20
CA-2016-149587,31/01/2016,2016/05/02,Second Class,Minneapolis,31/01/2016,2022-06-20
US-2018-109484,06/11/2018,2018/12/11,Standard Class,Portland,06/11/2018,2022-06-20
CA-2018-161018,09/11/2018,2018/11/11,Second Class,New York City,09/11/2018,2022-06-20
CA-2018-157833,17/06/2018,2018/06/20,First Class,San Francisco,17/06/2018,2022-06-20
CA-2017-149223,06/09/2017,2017/11/09,Standard Class,Saint Paul,06/09/2017,2022-06-20
CA-2017-158568,29/08/2017,2017/02/09,Standard Class,Chicago,29/08/2017,2022-06-20
CA-2017-158568,29/08/2017,2017/02/09,Standard Class,Chicago,29/08/2017,2022-06-20
CA-2017-158568,29/08/2017,2017/02/09,Standard Class,Chicago,29/08/2017,2022-06-20
CA-2017-129903,01/12/2017,2017/04/12,Second Class,Rochester,01/12/2017,2022-06-20
US-2016-156867,13/11/2016,2016/11/17,Standard Class,Aurora,13/11/2016,2022-06-20
US-2016-156867,13/11/2016,2016/11/17,Standard Class,Aurora,13/11/2016,2022-06-20
US-2016-156867,13/11/2016,2016/11/17,Standard Class,Aurora,13/11/2016,2022-06-20
CA-2018-119004,23/11/2018,2018/11/28,Standard Class,Charlotte,23/11/2018,2022-06-20
CA-2018-119004,23/11/2018,2018/11/28,Standard Class,Charlotte,23/11/2018,2022-06-20
CA-2018-119004,23/11/2018,2018/11/28,Standard Class,Charlotte,23/11/2018,2022-06-20
CA-2016-129476,15/10/2016,2016/10/20,Standard Class,Orland Park,15/10/2016,2022-06-20
CA-2018-146780,25/12/2018,2018/12/30,Standard Class,New York City,25/12/2018,2022-06-20
CA-2017-128867,03/11/2017,2017/10/11,Standard Class,Urbandale,03/11/2017,2022-06-20
CA-2017-128867,03/11/2017,2017/10/11,Standard Class,Urbandale,03/11/2017,2022-06-20
CA-2015-115259,25/08/2015,2015/08/27,Second Class,Columbus,25/08/2015,2022-06-20
CA-2015-115259,25/08/2015,2015/08/27,Second Class,Columbus,25/08/2015,2022-06-20
CA-2015-115259,25/08/2015,2015/08/27,Second Class,Columbus,25/08/2015,2022-06-20
CA-2015-115259,25/08/2015,2015/08/27,Second Class,Columbus,25/08/2015,2022-06-20
CA-2016-110457,02/03/2016,2016/06/03,Standard Class,Seattle,02/03/2016,2022-06-20
US-2016-136476,05/04/2016,2016/10/04,Standard Class,Bristol,05/04/2016,2022-06-20
CA-2017-103730,12/06/2017,2017/06/15,First Class,Wilmington,12/06/2017,2022-06-20
CA-2017-103730,12/06/2017,2017/06/15,First Class,Wilmington,12/06/2017,2022-06-20
CA-2017-103730,12/06/2017,2017/06/15,First Class,Wilmington,12/06/2017,2022-06-20
CA-2017-103730,12/06/2017,2017/06/15,First Class,Wilmington,12/06/2017,2022-06-20
CA-2017-103730,12/06/2017,2017/06/15,First Class,Wilmington,12/06/2017,2022-06-20
US-2015-152030,26/12/2015,2015/12/28,Second Class,Houston,26/12/2015,2022-06-20
US-2015-134614,20/09/2015,2015/09/25,Standard Class,Bloomington,20/09/2015,2022-06-20
US-2018-107272,05/11/2018,2018/12/11,Standard Class,Phoenix,05/11/2018,2022-06-20
US-2018-107272,05/11/2018,2018/12/11,Standard Class,Phoenix,05/11/2018,2022-06-20
US-2017-125969,06/11/2017,2017/10/11,Second Class,Los Angeles,06/11/2017,2022-06-20
US-2017-125969,06/11/2017,2017/10/11,Second Class,Los Angeles,06/11/2017,2022-06-20
US-2018-164147,02/02/2018,2018/05/02,First Class,Columbus,02/02/2018,2022-06-20
US-2018-164147,02/02/2018,2018/05/02,First Class,Columbus,02/02/2018,2022-06-20
US-2018-164147,02/02/2018,2018/05/02,First Class,Columbus,02/02/2018,2022-06-20
CA-2017-145583,13/10/2017,2017/10/19,Standard Class,Roseville,13/10/2017,2022-06-20
CA-2017-145583,13/10/2017,2017/10/19,Standard Class,Roseville,13/10/2017,2022-06-20
CA-2017-145583,13/10/2017,2017/10/19,Standard Class,Roseville,13/10/2017,2022-06-20
CA-2017-145583,13/10/2017,2017/10/19,Standard Class,Roseville,13/10/2017,2022-06-20
CA-2017-145583,13/10/2017,2017/10/19,Standard Class,Roseville,13/10/2017,2022-06-20
CA-2017-145583,13/10/2017,2017/10/19,Standard Class,Roseville,13/10/2017,2022-06-20
CA-2017-145583,13/10/2017,2017/10/19,Standard Class,Roseville,13/10/2017,2022-06-20
CA-2017-110366,05/09/2017,2017/07/09,Second Class,Philadelphia,05/09/2017,2022-06-20
CA-2018-106180,18/09/2018,2018/09/23,Standard Class,San Francisco,18/09/2018,2022-06-20
CA-2018-106180,18/09/2018,2018/09/23,Standard Class,San Francisco,18/09/2018,2022-06-20
CA-2018-106180,18/09/2018,2018/09/23,Standard Class,San Francisco,18/09/2018,2022-06-20
CA-2018-155376,22/12/2018,2018/12/27,Standard Class,Independence,22/12/2018,2022-06-20
CA-2016-110744,07/09/2016,2016/12/09,Standard Class,Pasadena,07/09/2016,2022-06-20
CA-2015-110072,22/10/2015,2015/10/28,Standard Class,Newark,22/10/2015,2022-06-20
CA-2017-114489,05/12/2017,2017/09/12,Standard Class,Franklin,05/12/2017,2022-06-20
CA-2017-114489,05/12/2017,2017/09/12,Standard Class,Franklin,05/12/2017,2022-06-20
CA-2017-114489,05/12/2017,2017/09/12,Standard Class,Franklin,05/12/2017,2022-06-20
CA-2017-114489,05/12/2017,2017/09/12,Standard Class,Franklin,05/12/2017,2022-06-20
CA-2017-158834,13/03/2017,2017/03/16,First Class,Scottsdale,13/03/2017,2022-06-20
CA-2017-158834,13/03/2017,2017/03/16,First Class,Scottsdale,13/03/2017,2022-06-20
CA-2016-124919,31/05/2016,2016/02/06,First Class,San Jose,31/05/2016,2022-06-20
CA-2016-124919,31/05/2016,2016/02/06,First Class,San Jose,31/05/2016,2022-06-20
CA-2016-124919,31/05/2016,2016/02/06,First Class,San Jose,31/05/2016,2022-06-20
CA-2016-118948,28/05/2016,2016/03/06,Standard Class,Seattle,28/05/2016,2022-06-20
CA-2015-104269,01/03/2015,2015/06/03,Second Class,Seattle,01/03/2015,2022-06-20
CA-2017-114104,20/11/2017,2017/11/24,Standard Class,Edmond,20/11/2017,2022-06-20
CA-2017-114104,20/11/2017,2017/11/24,Standard Class,Edmond,20/11/2017,2022-06-20
CA-2017-162733,11/05/2017,2017/12/05,First Class,Los Angeles,11/05/2017,2022-06-20
CA-2016-119697,28/12/2016,2016/12/31,Second Class,Philadelphia,28/12/2016,2022-06-20
CA-2017-154508,16/11/2017,2017/11/20,Standard Class,Carlsbad,16/11/2017,2022-06-20
CA-2017-113817,07/11/2017,2017/11/11,Standard Class,Seattle,07/11/2017,2022-06-20
CA-2015-139892,08/09/2015,2015/12/09,Standard Class,San Antonio,08/09/2015,2022-06-20
CA-2015-139892,08/09/2015,2015/12/09,Standard Class,San Antonio,08/09/2015,2022-06-20
CA-2015-139892,08/09/2015,2015/12/09,Standard Class,San Antonio,08/09/2015,2022-06-20
CA-2015-139892,08/09/2015,2015/12/09,Standard Class,San Antonio,08/09/2015,2022-06-20
CA-2015-139892,08/09/2015,2015/12/09,Standard Class,San Antonio,08/09/2015,2022-06-20
CA-2015-139892,08/09/2015,2015/12/09,Standard Class,San Antonio,08/09/2015,2022-06-20
CA-2015-139892,08/09/2015,2015/12/09,Standard Class,San Antonio,08/09/2015,2022-06-20
CA-2015-118962,05/08/2015,2015/09/08,Standard Class,Los Angeles,05/08/2015,2022-06-20
CA-2015-118962,05/08/2015,2015/09/08,Standard Class,Los Angeles,05/08/2015,2022-06-20
CA-2015-118962,05/08/2015,2015/09/08,Standard Class,Los Angeles,05/08/2015,2022-06-20
US-2015-100853,14/09/2015,2015/09/19,Standard Class,Chicago,14/09/2015,2022-06-20
US-2015-100853,14/09/2015,2015/09/19,Standard Class,Chicago,14/09/2015,2022-06-20
US-2018-152366,21/04/2018,2018/04/25,Second Class,Houston,21/04/2018,2022-06-20
US-2016-101511,21/11/2016,2016/11/23,Second Class,Newark,21/11/2016,2022-06-20
US-2016-101511,21/11/2016,2016/11/23,Second Class,Newark,21/11/2016,2022-06-20
CA-2016-137225,15/12/2016,2016/12/19,Standard Class,New York City,15/12/2016,2022-06-20
CA-2015-166191,05/12/2015,2015/09/12,Second Class,Decatur,05/12/2015,2022-06-20
CA-2015-166191,05/12/2015,2015/09/12,Second Class,Decatur,05/12/2015,2022-06-20
CA-2015-158274,19/11/2015,2015/11/24,Second Class,Monroe,19/11/2015,2022-06-20
CA-2015-158274,19/11/2015,2015/11/24,Second Class,Monroe,19/11/2015,2022-06-20
CA-2015-158274,19/11/2015,2015/11/24,Second Class,Monroe,19/11/2015,2022-06-20
CA-2017-105018,28/11/2017,2017/02/12,Standard Class,Fairfield,28/11/2017,2022-06-20
CA-2015-123260,26/08/2015,2015/08/30,Standard Class,Los Angeles,26/08/2015,2022-06-20
CA-2017-157000,16/07/2017,2017/07/22,Standard Class,Grand Prairie,16/07/2017,2022-06-20
CA-2017-157000,16/07/2017,2017/07/22,Standard Class,Grand Prairie,16/07/2017,2022-06-20
CA-2016-102281,12/10/2016,2016/10/14,First Class,New York City,12/10/2016,2022-06-20
CA-2016-102281,12/10/2016,2016/10/14,First Class,New York City,12/10/2016,2022-06-20
CA-2016-102281,12/10/2016,2016/10/14,First Class,New York City,12/10/2016,2022-06-20
CA-2016-102281,12/10/2016,2016/10/14,First Class,New York City,12/10/2016,2022-06-20
CA-2016-102281,12/10/2016,2016/10/14,First Class,New York City,12/10/2016,2022-06-20
CA-2016-131457,31/10/2016,2016/06/11,Standard Class,Redlands,31/10/2016,2022-06-20
CA-2015-140004,21/03/2015,2015/03/25,Standard Class,Hamilton,21/03/2015,2022-06-20
CA-2015-140004,21/03/2015,2015/03/25,Standard Class,Hamilton,21/03/2015,2022-06-20
CA-2018-107720,06/11/2018,2018/11/13,Standard Class,Westfield,06/11/2018,2022-06-20
US-2018-124303,06/07/2018,2018/07/13,Standard Class,Philadelphia,06/07/2018,2022-06-20
US-2018-124303,06/07/2018,2018/07/13,Standard Class,Philadelphia,06/07/2018,2022-06-20
CA-2018-105074,24/06/2018,2018/06/29,Standard Class,Akron,24/06/2018,2022-06-20
CA-2015-133690,03/08/2015,2015/05/08,First Class,Denver,03/08/2015,2022-06-20
CA-2015-133690,03/08/2015,2015/05/08,First Class,Denver,03/08/2015,2022-06-20
US-2018-116701,17/12/2018,2018/12/21,Second Class,Dallas,17/12/2018,2022-06-20
CA-2018-126382,03/06/2018,2018/07/06,Standard Class,Franklin,03/06/2018,2022-06-20
CA-2018-108329,09/12/2018,2018/12/14,Standard Class,Whittier,09/12/2018,2022-06-20
CA-2018-135860,01/12/2018,2018/07/12,Standard Class,Saginaw,01/12/2018,2022-06-20
CA-2018-135860,01/12/2018,2018/07/12,Standard Class,Saginaw,01/12/2018,2022-06-20
CA-2018-135860,01/12/2018,2018/07/12,Standard Class,Saginaw,01/12/2018,2022-06-20
CA-2018-135860,01/12/2018,2018/07/12,Standard Class,Saginaw,01/12/2018,2022-06-20
CA-2018-135860,01/12/2018,2018/07/12,Standard Class,Saginaw,01/12/2018,2022-06-20
CA-2016-101007,09/02/2016,2016/02/13,Second Class,Dallas,09/02/2016,2022-06-20
CA-2016-146262,02/01/2016,2016/09/01,Standard Class,Medina,02/01/2016,2022-06-20
CA-2016-146262,02/01/2016,2016/09/01,Standard Class,Medina,02/01/2016,2022-06-20
CA-2016-146262,02/01/2016,2016/09/01,Standard Class,Medina,02/01/2016,2022-06-20
CA-2016-146262,02/01/2016,2016/09/01,Standard Class,Medina,02/01/2016,2022-06-20
CA-2016-146262,02/01/2016,2016/09/01,Standard Class,Medina,02/01/2016,2022-06-20
CA-2017-130162,28/10/2017,2017/01/11,Standard Class,Los Angeles,28/10/2017,2022-06-20
CA-2017-130162,28/10/2017,2017/01/11,Standard Class,Los Angeles,28/10/2017,2022-06-20
CA-2016-169397,24/12/2016,2016/12/27,First Class,Dublin,24/12/2016,2022-06-20
CA-2016-169397,24/12/2016,2016/12/27,First Class,Dublin,24/12/2016,2022-06-20
CA-2016-169397,24/12/2016,2016/12/27,First Class,Dublin,24/12/2016,2022-06-20
CA-2016-169397,24/12/2016,2016/12/27,First Class,Dublin,24/12/2016,2022-06-20
CA-2016-169397,24/12/2016,2016/12/27,First Class,Dublin,24/12/2016,2022-06-20
CA-2016-169397,24/12/2016,2016/12/27,First Class,Dublin,24/12/2016,2022-06-20
CA-2016-163055,09/08/2016,2016/08/16,Standard Class,Detroit,09/08/2016,2022-06-20
CA-2016-163055,09/08/2016,2016/08/16,Standard Class,Detroit,09/08/2016,2022-06-20
CA-2016-163055,09/08/2016,2016/08/16,Standard Class,Detroit,09/08/2016,2022-06-20
US-2016-145436,28/02/2016,2016/04/03,Standard Class,Columbia,28/02/2016,2022-06-20
US-2016-145436,28/02/2016,2016/04/03,Standard Class,Columbia,28/02/2016,2022-06-20
US-2015-156216,13/09/2015,2015/09/17,Standard Class,Charlotte,13/09/2015,2022-06-20
US-2018-100930,07/04/2018,2018/12/04,Standard Class,Tampa,07/04/2018,2022-06-20
US-2018-100930,07/04/2018,2018/12/04,Standard Class,Tampa,07/04/2018,2022-06-20
US-2018-100930,07/04/2018,2018/12/04,Standard Class,Tampa,07/04/2018,2022-06-20
US-2018-100930,07/04/2018,2018/12/04,Standard Class,Tampa,07/04/2018,2022-06-20
US-2018-100930,07/04/2018,2018/12/04,Standard Class,Tampa,07/04/2018,2022-06-20
CA-2018-160514,12/11/2018,2018/11/16,Standard Class,Santa Clara,12/11/2018,2022-06-20
CA-2017-157749,04/06/2017,2017/09/06,Second Class,Chicago,04/06/2017,2022-06-20
CA-2017-157749,04/06/2017,2017/09/06,Second Class,Chicago,04/06/2017,2022-06-20
CA-2017-157749,04/06/2017,2017/09/06,Second Class,Chicago,04/06/2017,2022-06-20
CA-2017-157749,04/06/2017,2017/09/06,Second Class,Chicago,04/06/2017,2022-06-20
CA-2017-157749,04/06/2017,2017/09/06,Second Class,Chicago,04/06/2017,2022-06-20
CA-2017-157749,04/06/2017,2017/09/06,Second Class,Chicago,04/06/2017,2022-06-20
CA-2017-157749,04/06/2017,2017/09/06,Second Class,Chicago,04/06/2017,2022-06-20
CA-2015-131926,01/06/2015,2015/06/06,Second Class,Lakeville,01/06/2015,2022-06-20
CA-2015-131926,01/06/2015,2015/06/06,Second Class,Lakeville,01/06/2015,2022-06-20
CA-2015-131926,01/06/2015,2015/06/06,Second Class,Lakeville,01/06/2015,2022-06-20
CA-2015-131926,01/06/2015,2015/06/06,Second Class,Lakeville,01/06/2015,2022-06-20
CA-2015-131926,01/06/2015,2015/06/06,Second Class,Lakeville,01/06/2015,2022-06-20
CA-2017-154739,10/12/2017,2017/12/15,Second Class,San Francisco,10/12/2017,2022-06-20
CA-2017-145625,11/09/2017,2017/09/17,Standard Class,San Diego,11/09/2017,2022-06-20
CA-2017-145625,11/09/2017,2017/09/17,Standard Class,San Diego,11/09/2017,2022-06-20
CA-2017-146941,10/12/2017,2017/12/13,First Class,New York City,10/12/2017,2022-06-20
CA-2017-146941,10/12/2017,2017/12/13,First Class,New York City,10/12/2017,2022-06-20
US-2016-159982,28/11/2016,2016/04/12,Standard Class,Chicago,28/11/2016,2022-06-20
US-2016-159982,28/11/2016,2016/04/12,Standard Class,Chicago,28/11/2016,2022-06-20
US-2016-159982,28/11/2016,2016/04/12,Standard Class,Chicago,28/11/2016,2022-06-20
US-2016-159982,28/11/2016,2016/04/12,Standard Class,Chicago,28/11/2016,2022-06-20
CA-2018-163139,01/12/2018,2018/03/12,Second Class,New York City,01/12/2018,2022-06-20
CA-2018-163139,01/12/2018,2018/03/12,Second Class,New York City,01/12/2018,2022-06-20
CA-2018-163139,01/12/2018,2018/03/12,Second Class,New York City,01/12/2018,2022-06-20
US-2018-155299,08/06/2018,2018/12/06,Standard Class,Pasadena,08/06/2018,2022-06-20
US-2015-106992,19/09/2015,2015/09/21,Second Class,Houston,19/09/2015,2022-06-20
US-2015-106992,19/09/2015,2015/09/21,Second Class,Houston,19/09/2015,2022-06-20
CA-2017-125318,06/06/2017,2017/06/13,Standard Class,Chicago,06/06/2017,2022-06-20
CA-2016-155040,10/11/2016,2016/11/15,Standard Class,Brentwood,10/11/2016,2022-06-20
CA-2018-136826,16/06/2018,2018/06/20,Standard Class,Chapel Hill,16/06/2018,2022-06-20
CA-2017-111010,22/01/2017,2017/01/28,Standard Class,Morristown,22/01/2017,2022-06-20
US-2018-145366,09/12/2018,2018/12/13,Standard Class,Cincinnati,09/12/2018,2022-06-20
US-2018-145366,09/12/2018,2018/12/13,Standard Class,Cincinnati,09/12/2018,2022-06-20
CA-2018-163979,28/12/2018,2019/02/01,Second Class,San Francisco,28/12/2018,2022-06-20
CA-2016-155334,30/07/2016,2016/07/31,First Class,San Francisco,30/07/2016,2022-06-20
CA-2016-155334,30/07/2016,2016/07/31,First Class,San Francisco,30/07/2016,2022-06-20
CA-2016-155334,30/07/2016,2016/07/31,First Class,San Francisco,30/07/2016,2022-06-20
CA-2018-118136,16/09/2018,2018/09/17,First Class,Inglewood,16/09/2018,2022-06-20
CA-2018-118136,16/09/2018,2018/09/17,First Class,Inglewood,16/09/2018,2022-06-20
CA-2018-132976,13/10/2018,2018/10/17,Standard Class,Philadelphia,13/10/2018,2022-06-20
CA-2018-132976,13/10/2018,2018/10/17,Standard Class,Philadelphia,13/10/2018,2022-06-20
CA-2018-132976,13/10/2018,2018/10/17,Standard Class,Philadelphia,13/10/2018,2022-06-20
CA-2018-132976,13/10/2018,2018/10/17,Standard Class,Philadelphia,13/10/2018,2022-06-20
US-2016-161991,26/09/2016,2016/09/28,Second Class,Houston,26/09/2016,2022-06-20
US-2016-161991,26/09/2016,2016/09/28,Second Class,Houston,26/09/2016,2022-06-20
CA-2016-130890,02/11/2016,2016/06/11,Standard Class,Los Angeles,02/11/2016,2022-06-20
CA-2016-130883,26/09/2016,2016/02/10,Standard Class,Portland,26/09/2016,2022-06-20
CA-2016-130883,26/09/2016,2016/02/10,Standard Class,Portland,26/09/2016,2022-06-20
CA-2016-130883,26/09/2016,2016/02/10,Standard Class,Portland,26/09/2016,2022-06-20
CA-2017-112697,18/12/2017,2017/12/20,Second Class,Tamarac,18/12/2017,2022-06-20
CA-2017-112697,18/12/2017,2017/12/20,Second Class,Tamarac,18/12/2017,2022-06-20
CA-2017-112697,18/12/2017,2017/12/20,Second Class,Tamarac,18/12/2017,2022-06-20
CA-2017-110772,20/11/2017,2017/11/24,Second Class,Columbus,20/11/2017,2022-06-20
CA-2017-110772,20/11/2017,2017/11/24,Second Class,Columbus,20/11/2017,2022-06-20
CA-2017-110772,20/11/2017,2017/11/24,Second Class,Columbus,20/11/2017,2022-06-20
